booking_id,passenger_id,flight_id,booking_date,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,booking_status
B1166,P1055,SJ141,2026-01-23 11:37:36.951,****5442,34D,M***,******7690,CONFIRMED
B1167,P1546,SJ018,2026-02-02 11:37:36.951,****9423,9F,N***,******6854,CANCELLED
B1168,P1111,UK120,2025-10-14 11:37:36.951,****9156,11C,N***,******3269,CANCELLED
B1169,P1797,AI078,2025-11-15 11:37:36.951,****7256,11E,P***,******7397,CONFIRMED
B1170,P1309,AI079,2025-09-14 11:37:36.951,****8951,15E,N***,******4039,PENDING
B1171,P1035,UK087,2025-09-19 11:37:36.951,****7846,21A,A***,******5830,CANCELLED
B1172,P1438,UK133,2026-01-17 11:37:36.951,****0349,8F,H***,******9600,CONFIRMED
B1173,P1728,AI222,2025-06-01 11:37:36.951,****2038,22E,B***,******0197,CANCELLED
B1174,P1591,6F049,2026-04-12 11:37:36.951,****6415,19D,T***,******4287,CANCELLED
B1175,P1825,6F105,2026-01-29 11:37:36.951,****2593,27D,T***,******0363,PENDING
B1176,P1594,SJ226,2025-04-17 11:37:36.951,****0942,7C,D***,******7327,CANCELLED
B1177,P1576,SJ227,2025-07-29 11:37:36.951,****9819,34D,U***,******0863,CANCELLED
B1178,P1324,6F034,2026-02-05 11:37:36.951,****5238,34E,R***,******2098,CONFIRMED
B1179,P1639,SJ078,2025-10-03 11:37:36.951,****6605,33D,F***,******5466,CONFIRMED
B1180,P1306,AI240,2026-04-10 11:37:36.951,****2758,22F,E***,******9558,PENDING
B1181,P1533,SJ002,2026-03-29 11:37:36.951,****5594,12E,I***,******9169,CANCELLED
B1182,P1727,AI044,2025-08-11 11:37:36.951,****5020,3A,M***,******4521,CANCELLED
B1183,P1618,UK076,2025-06-22 11:37:36.951,****3132,8C,G***,******8652,CANCELLED
B1184,P1108,6F232,2025-08-01 11:37:36.951,****7083,28E,J***,******6490,PENDING
B1185,P1371,SJ228,2025-08-16 11:37:36.951,****8896,25E,P***,******6542,CANCELLED
B1186,P1356,SJ074,2026-04-04 11:37:36.951,****7462,1B,B***,******4213,CONFIRMED
B1187,P1180,UK229,2025-08-04 11:37:36.951,****1832,7F,R***,******5908,PENDING
B1188,P1355,AI208,2026-04-04 11:37:36.951,****2049,6A,D***,******9782,CONFIRMED
B1189,P1675,AI019,2025-11-23 11:37:36.951,****6472,14F,Y***,******8556,CONFIRMED
B1190,P1067,6F029,2025-05-23 11:37:36.951,****6817,12B,L***,******1523,PENDING
B1191,P1291,6F018,2025-04-27 11:37:36.951,****8472,25B,A***,******2358,CONFIRMED
B1192,P1691,AI059,2025-06-23 11:37:36.951,****7683,7D,R***,******5924,CANCELLED
B1193,P1180,AI159,2025-05-22 11:37:36.951,****2173,13D,Z***,******0978,PENDING
B1194,P1465,6F091,2025-07-11 11:37:36.951,****5222,14F,R***,******6626,CONFIRMED
B1195,P1433,6F084,2025-07-20 11:37:36.951,****1438,10B,R***,******6166,CANCELLED
B1196,P1463,UK170,2026-01-15 11:37:36.951,****8358,20C,G***,******4596,CANCELLED
B1197,P1680,UK212,2025-05-19 11:37:36.951,****2643,2E,J***,******7338,CONFIRMED
B1198,P1913,SJ022,2025-06-16 11:37:36.951,****1279,29A,Y***,******2983,UNKNOWN
B1199,P1533,SJ075,2025-12-13 11:37:36.951,****0539,30E,N***,******7632,PENDING
B1200,P1065,UK177,2025-09-17 11:37:36.951,****2988,16B,N***,******8921,CONFIRMED
B1201,P1020,UK206,2026-02-01 11:37:36.951,****0832,3A,J***,******4055,CANCELLED
B1202,P1611,UK079,2025-04-29 11:37:36.951,****8889,29C,O***,******6263,CANCELLED
B1203,P1383,UK040,2025-06-21 11:37:36.951,****3860,3B,O***,******0009,CONFIRMED
B1204,P1811,AI034,2025-07-25 11:37:36.951,****9951,30A,N***,******2075,CONFIRMED
B1205,P1614,UK034,2025-10-18 11:37:36.951,****0292,23F,D***,******4339,CONFIRMED
B1206,P1558,AI088,2025-07-02 11:37:36.951,****8309,13A,S***,******2395,CONFIRMED
B1207,P1038,AI128,2025-06-11 11:37:36.951,****1912,26A,E***,******6415,PENDING
B1208,P1284,SJ052,2025-07-22 11:37:36.951,****1767,9A,R***,******2858,UNKNOWN
B1209,P1821,AI233,2025-12-15 11:37:36.951,****6122,3A,T***,******6064,PENDING
B1210,P1601,AI012,2026-01-20 11:37:36.951,****3393,3C,U***,******4358,PENDING
B1211,P1596,AI084,2025-07-07 11:37:36.951,****0274,34A,F***,******5378,CONFIRMED
B1212,P1784,6F126,2025-07-08 11:37:36.951,****4086,34B,Y***,******6819,PENDING
B1213,P1335,SJ061,2025-06-16 11:37:36.951,****9462,2E,G***,******1107,CONFIRMED
B1214,P1187,UK194,2025-08-14 11:37:36.951,****0399,23B,D***,******9571,UNKNOWN
B1215,P1670,AI135,2025-08-08 11:37:36.951,****1243,28C,R***,******3317,CANCELLED
B1216,P1242,6F238,2025-12-09 11:37:36.951,****3041,10A,A***,******5129,CONFIRMED
B1217,P1072,6F092,2026-03-19 11:37:36.951,****9273,32C,Y***,******8927,CANCELLED
B1218,P1478,AI213,2025-11-13 11:37:36.951,****1669,2D,E***,******3132,PENDING
B1219,P1973,UK193,2026-02-15 11:37:36.951,****5542,1B,O***,******0964,CANCELLED
B1220,P1560,6F178,2026-04-04 11:37:36.951,****9567,29C,L***,******2559,PENDING
B1221,P1100,AI158,2026-03-06 11:37:36.951,****7955,19D,M***,******5218,CONFIRMED
B1222,P1513,UK208,2026-03-30 11:37:36.951,****4760,8A,M***,******5907,PENDING
B1223,P1755,6F056,2026-04-09 11:37:36.951,****3068,15A,H***,******4660,UNKNOWN
B1224,P1175,UK185,2025-10-26 11:37:36.951,****6808,1E,T***,******9317,CONFIRMED
B1225,P1237,AI163,2026-01-13 11:37:36.951,****9015,4D,Z***,******1229,PENDING
B1226,P1909,AI112,2025-08-23 11:37:36.951,****1307,15C,C***,******3124,CONFIRMED
B1227,P1058,AI227,2025-10-23 11:37:36.951,****7436,12A,J***,******8218,CANCELLED
B1228,P1864,SJ083,2026-04-17 11:37:36.951,****5885,29D,K***,******2235,CONFIRMED
B1229,P1098,UK073,2026-02-07 11:37:36.951,****1805,13F,E***,******1227,CONFIRMED
B1230,P1953,6F169,2025-04-29 11:37:36.951,****6662,6C,Y***,******2051,PENDING
B1231,P1870,UK154,2026-04-06 11:37:36.951,****0046,27D,S***,******5590,CANCELLED
B1232,P1953,SJ169,2025-10-06 11:37:36.951,****1079,32F,V***,******1252,CONFIRMED
B1233,P1494,6F187,2025-05-13 11:37:36.951,****9388,5F,A***,******9119,CANCELLED
B1234,P1946,UK210,2025-11-21 11:37:36.951,****5204,33A,A***,******4349,CANCELLED
B1235,P1979,6F250,2025-12-23 11:37:36.951,****8731,13D,V***,******0345,PENDING
B1236,P1513,AI062,2025-07-05 11:37:36.951,****8416,25A,A***,******2732,CONFIRMED
B1237,P1754,AI047,2025-11-16 11:37:36.951,****7943,15B,F***,******1042,UNKNOWN
B1238,P1296,SJ186,2025-10-20 11:37:36.951,****9499,8E,W***,******4048,UNKNOWN
B1239,P1210,AI217,2025-11-17 11:37:36.951,****6203,30A,G***,******8284,CANCELLED
B1240,P1122,UK100,2025-12-31 11:37:36.951,****6020,17A,F***,******5606,CONFIRMED
B1241,P1228,UK116,2025-12-16 11:37:36.951,****9897,10A,M***,******1868,CONFIRMED
B1242,P1593,6F036,2025-12-01 11:37:36.951,****4801,26C,L***,******3494,CANCELLED
B1243,P1655,AI175,2026-01-22 11:37:36.951,****5883,29E,T***,******2271,CANCELLED
B1244,P1387,UK051,2025-08-18 11:37:36.951,****0480,27D,O***,******5439,CONFIRMED
B1245,P1139,6F201,2026-04-17 11:37:36.951,****9149,26A,G***,******9724,UNKNOWN
B1246,P1540,6F230,2026-04-09 11:37:36.951,****2968,33B,O***,******7156,CONFIRMED
B1247,P1390,SJ138,2025-08-13 11:37:36.951,****4095,15F,S***,******4867,CANCELLED
B1248,P1269,AI246,2026-03-04 11:37:36.951,****5607,16B,L***,******8805,PENDING
B1249,P1758,6F179,2025-06-06 11:37:36.951,****6517,26B,L***,******3294,CANCELLED
B1250,P1011,6F031,2026-01-28 11:37:36.951,****9668,16F,A***,******9472,CANCELLED
B1251,P1866,UK015,2025-08-30 11:37:36.951,****8421,29A,C***,******0000,PENDING
B1252,P1388,UK001,2025-04-21 11:37:36.951,****2593,27C,O***,******8619,CANCELLED
B1253,P1336,6F133,2026-02-27 11:37:36.951,****8688,15E,T***,******2911,CANCELLED
B1254,P1505,6F143,2025-07-22 11:37:36.951,****2879,5D,T***,******7840,CANCELLED
B1255,P1105,UK165,2025-09-22 11:37:36.951,****3193,23F,R***,******1946,CANCELLED
B1256,P1031,6F083,2025-08-10 11:37:36.951,****3760,22B,A***,******0072,CANCELLED
B1257,P1073,AI082,2025-08-19 11:37:36.951,****1650,11C,G***,******7961,CANCELLED
B1258,P1170,AI164,2025-10-28 11:37:36.951,****1916,21F,N***,******9118,CANCELLED
B1259,P1848,SJ155,2026-01-19 11:37:36.951,****6617,31F,J***,******8041,CANCELLED
B1260,P1068,AI189,2026-01-04 11:37:36.951,****8980,1D,A***,******9063,CANCELLED
B1261,P1812,SJ057,2025-12-21 11:37:36.951,****1746,34A,A***,******0909,CONFIRMED
B1262,P1361,SJ198,2025-05-07 11:37:36.951,****4869,16F,P***,******8944,CONFIRMED
B1263,P1648,6F122,2026-01-03 11:37:36.951,****8694,6C,T***,******8359,CANCELLED
B1264,P1432,SJ097,2026-04-15 11:37:36.951,****1929,12A,C***,******0179,CONFIRMED
B1265,P1928,UK203,2025-08-06 11:37:36.951,****1171,28F,L***,******3723,PENDING
B1266,P1995,UK093,2026-01-16 11:37:36.951,****3653,27F,S***,******3106,CONFIRMED
B1267,P1099,AI205,2025-05-21 11:37:36.951,****5906,32A,E***,******0019,CANCELLED
B1268,P1657,AI102,2026-01-16 11:37:36.951,****4894,12A,L***,******7177,UNKNOWN
B1269,P1008,6F046,2025-09-06 11:37:36.951,****6676,4C,O***,******0807,CONFIRMED
B1270,P1573,SJ017,2025-06-02 11:37:36.951,****6577,22E,F***,******2228,UNKNOWN
B1271,P1696,6F156,2025-10-20 11:37:36.951,****3890,28B,A***,******3662,PENDING
B1272,P1028,AI068,2025-07-18 11:37:36.951,****2265,19A,C***,******8311,PENDING
B1273,P1892,AI150,2025-06-05 11:37:36.951,****5300,28B,U***,******6375,UNKNOWN
B1274,P1113,UK008,2025-10-15 11:37:36.951,****7677,20D,B***,******3571,PENDING
B1275,P1461,6F166,2025-07-11 11:37:36.951,****0112,18F,Y***,******6536,PENDING
B1276,P1920,6F177,2025-07-15 11:37:36.951,****8600,1A,A***,******9840,CONFIRMED
B1277,P1142,AI196,2026-01-19 11:37:36.951,****8231,12E,W***,******6223,PENDING
B1278,P1389,SJ191,2025-08-09 11:37:36.951,****6426,5B,U***,******3565,CONFIRMED
B1279,P1631,6F019,2025-05-10 11:37:36.951,****3753,28C,T***,******4052,UNKNOWN
B1280,P1681,AI226,2026-04-12 11:37:36.951,****5254,33B,A***,******9514,CONFIRMED
B1281,P1156,SJ207,2026-01-21 11:37:36.951,****5454,4A,O***,******9374,CANCELLED
B1282,P1334,AI009,2025-12-30 11:37:36.951,****5231,8B,N***,******2151,CANCELLED
B1283,P1860,AI103,2025-05-08 11:37:36.951,****7917,29D,H***,******7808,UNKNOWN
B1284,P1259,SJ127,2026-02-22 11:37:36.951,****0388,25F,D***,******0070,CANCELLED
B1285,P1081,UK188,2026-03-26 11:37:36.951,****8019,25B,M***,******8913,CANCELLED
B1286,P1753,6F010,2025-09-25 11:37:36.951,****9358,33B,F***,******3362,UNKNOWN
